statefip,year,vacant,units,state_name,total_units,vacancy_rate,vacancy_status
11,2017,0,281476,District of Columbia,314843,0.10597980580797413,Occupied
11,2015,0,281788,District of Columbia,309596,0.08982028191578703,Occupied
11,2015,1,27808,District of Columbia,309596,0.08982028191578703,Vacant
11,2016,0,281238,District of Columbia,313703,0.1034896064111596,Occupied
11,2019,1,31244,District of Columbia,322814,0.09678638472928683,Vacant
11,2017,1,33367,District of Columbia,314843,0.10597980580797413,Vacant
11,2016,1,32465,District of Columbia,313703,0.1034896064111596,Vacant
12,2018,0,7809225,Florida,9547626,0.18207678013361647,Occupied
12,2019,0,7905719,Florida,9673939,0.18278180170455902,Occupied
12,2017,0,7689892,Florida,9441526,0.1855244586521289,Occupied
12,2016,0,7573323,Florida,9302004,0.18583963197607742,Occupied
12,2016,1,1728681,Florida,9302004,0.18583963197607742,Vacant
12,2015,1,1747096,Florida,9210260,0.18969019332787565,Vacant
12,2018,1,1738401,Florida,9547626,0.18207678013361647,Vacant
12,2015,0,7463164,Florida,9210260,0.18969019332787565,Occupied
12,2017,1,1751634,Florida,9441526,0.1855244586521289,Vacant
12,2019,1,1768220,Florida,9673939,0.18278180170455902,Vacant
13,2016,1,532964,Georgia,4219018,0.1263241825467443,Vacant
13,2015,0,3656403,Georgia,4182228,0.12572843948249593,Occupied
13,2019,0,3852713,Georgia,4378350,0.12005367318738794,Occupied
13,2016,0,3686054,Georgia,4219018,0.1263241825467443,Occupied
13,2017,0,3745046,Georgia,4282233,0.1254455327395777,Occupied
13,2015,1,525825,Georgia,4182228,0.12572843948249593,Vacant
13,2019,1,525637,Georgia,4378350,0.12005367318738794,Vacant
13,2018,0,3802789,Georgia,4326040,0.12095380532773622,Occupied
13,2018,1,523251,Georgia,4326040,0.12095380532773622,Vacant
13,2017,1,537187,Georgia,4282233,0.1254455327395777,Vacant
15,2015,0,445713,Hawaii,532193,0.1624974398385548,Occupied
15,2018,0,455311,Hawaii,546261,0.1664955030653845,Occupied
15,2019,0,465185,Hawaii,550214,0.15453805246685834,Occupied
15,2019,1,85029,Hawaii,550214,0.15453805246685834,Vacant
15,2016,1,81303,Hawaii,537103,0.15137320029863918,Vacant
15,2016,0,455800,Hawaii,537103,0.15137320029863918,Occupied
15,2017,0,458006,Hawaii,542882,0.1563433674352806,Occupied
15,2015,1,86480,Hawaii,532193,0.1624974398385548,Vacant
15,2018,1,90950,Hawaii,546261,0.1664955030653845,Vacant
15,2017,1,84876,Hawaii,542882,0.1563433674352806,Vacant
16,2019,0,655856,Idaho,751113,0.12682113077526283,Occupied
16,2018,0,640273,Idaho,735703,0.12971266937881182,Occupied
16,2015,0,597418,Idaho,692482,0.1372801025875041,Occupied
16,2017,1,96680,Idaho,721656,0.13396964758832464,Vacant
